BUTTON_PRESSED	BUTTON_PRESS_TIME	DISPLAY_ON_TIME	RESPONSE_TIME	RESPONSE_ACCURACY	correct	correctbutton	pic	particle
0	-1	275885.82	-1	no_response	yes	4	practice_1.png	practice
2	298600.00	292285.03	6314	correct	no	2	practice_5.png	practice
4	306958.00	303301.16	3656	correct	yes	4	practice_3.png	practice
4	314391.00	311400.79	2990	incorrect	no	2	practice_4.png	practice
2	322262.00	319317.07	2944	incorrect	yes	4	practice_2.png	practice
2	332002.00	329316.60	2685	correct	no	2	practice_6.png	practice
4	376465.00	373231.16	3233	incorrect	no	2	8_filler-no_Trgt-6_collect.png	filler
4	382711.00	380547.47	2163	correct	yes	4	15_most-yes-stot_trgt6_paint.png	only
2	389728.00	387080.49	2647	correct	no	2	6_obj-nichtnur-no_trgt4_buy.png	only
4	398256.00	396163.37	2092	correct	yes	4	14_filler-yes_Trgt-3_bring.png	filler
2	405000.00	402146.41	2853	correct	no	2	7_filler-no_Trgt-3_collect.png	filler
4	412387.00	409246.08	3140	correct	yes	4	7_most-yes-stot_trgt6_collect.png	only
2	419102.00	416679.05	2422	correct	no	2	20_most-no-sfof_trgt6_win.png	most
2	426676.00	424178.70	2497	correct	no	2	19_filler-no_Trgt-4_win.png	filler
4	435694.00	433161.60	2532	correct	yes	4	2_filler-yes_Trgt-5_eat.png	filler
2	441479.00	439661.30	1817	correct	no	2	7_subj-nichtnur-no_trgt6_collect.png	only
2	451728.00	449110.83	2617	correct	no	2	"22_obj-nichtnur-no_trgt4_throw away.png"	only
2	458037.00	456143.82	1893	correct	no	2	16_filler-no_Trgt-5_paint.png	filler
4	464817.00	462276.87	2540	correct	yes	4	5_filler-yes_Trgt-6_buy.png	filler
2	470690.00	468893.21	1796	correct	no	2	11_filler-no_Trgt-5_catch.png	filler
2	477200.00	475242.91	1957	correct	no	2	4_most-no-sfof_trgt4_break.png	most
2	483582.00	481359.28	2222	correct	no	2	10_filler-no_Trgt-3_find.png	filler
2	490063.00	488592.26	1470	correct	no	2	2_obj-nichtnur-no_trgt5_eat.png	only
2	496065.00	494092.00	1973	correct	no	2	23_subj-nichtnur-no_trgt4_steal.png	only
