BUTTON_PRESSED	BUTTON_PRESS_TIME	DISPLAY_ON_TIME	RESPONSE_TIME	RESPONSE_ACCURACY	correct	correctbutton	pic	particle
4	134127.00	125201.80	8925	correct	yes	4	practice_1.png	practice
2	144473.00	140067.75	4405	correct	no	2	practice_5.png	practice
2	155126.00	150383.90	4742	incorrect	yes	4	practice_2.png	practice
4	167547.00	162633.33	4913	correct	yes	4	practice_3.png	practice
2	178441.00	172932.82	5508	correct	no	2	practice_4.png	practice
2	187706.00	184382.27	3323	correct	no	2	practice_6.png	practice
4	235554.00	231829.98	3724	correct	yes	4	17_filler-yes_Trgt-6_take.png	filler
2	243722.00	240912.87	2809	correct	no	2	23_filler-no_Trgt-5_steal.png	filler
4	253657.00	249712.45	3944	correct	yes	4	24_most-yes-stot_trgt4_steal.png	most
4	266276.00	259395.31	6880	correct	yes	4	"22_most-yes-stot_trgt4_throw away.png"	only
4	275026.00	271144.75	3881	correct	yes	4	8_filler-yes_Trgt-6_collect.png	filler
2	283209.00	280527.64	2681	correct	no	2	9_obj-nichtnur-no_trgt6_find.png	only
2	293455.00	288993.89	4461	correct	no	2	6_filler-no_Trgt-4_buy.png	filler
2	303284.00	298793.41	4490	correct	no	2	3_most-no-sfof_trgt3_break.png	most
4	312296.00	309126.24	3169	correct	yes	4	13_most-yes-sfot_trgt5_bring.png	only
2	322903.00	317275.86	5627	correct	no	2	5_filler-no_Trgt-6_buy.png	filler
4	335171.00	329808.59	5362	correct	yes	4	1_filler-yes_Trgt-3_eat.png	filler
4	344005.00	340508.07	3496	correct	yes	4	1_most-yes-sfot_trgt6_eat.png	only
4	353008.00	350024.27	2983	correct	yes	4	19_most-yes-sfot_trgt5_win.png	most
4	360603.00	357507.24	3095	correct	yes	4	7_filler-yes_Trgt-3_collect.png	filler
4	373569.00	365523.52	8045	correct	yes	4	"21_filler-yes_Trgt-4_throw away.png"	filler
4	382545.00	379706.18	2838	correct	yes	4	23_most-yes-sfot_trgt4_steal.png	most
2	391266.00	387422.47	3843	correct	no	2	2_subj-nichtnur-no_trgt5_eat.png	only
2	398447.00	395588.74	2858	correct	no	2	1_filler-no_Trgt-3_eat.png	filler
4	405675.00	403021.71	2653	correct	yes	4	15_filler-yes_Trgt-6_paint.png	filler
4	414986.00	411421.32	3564	correct	yes	4	2_most-yes-stot_trgt5_eat.png	only
2	422756.00	419704.26	3051	correct	no	2	1_obj-nichtnur-no_trgt6_eat.png	only
4	432834.00	428287.16	4546	correct	yes	4	5_filler-yes_Trgt-6_buy.png	filler
2	440463.00	437603.37	2859	correct	no	2	16_filler-no_Trgt-5_paint.png	filler
4	447699.00	445219.68	2479	correct	yes	4	5_most-yes-sfot_trgt3_buy.png	only
4	486363.00	483484.51	2878	correct	yes	4	4_filler-yes_Trgt-4_break.png	filler
4	497130.00	492917.38	4212	correct	yes	4	18_filler-yes_Trgt-5_take.png	filler
2	503451.00	501850.28	1600	correct	no	2	17_obj-nichtnur-no_trgt3_take.png	only
4	511383.00	508699.93	2683	correct	yes	4	"21_most-yes-sfot_trgt4_throw away.png"	only
2	519410.00	516582.91	2827	correct	no	2	3_filler-no_Trgt-3_break.png	filler
2	528939.00	524649.17	4289	correct	no	2	16_most-no-sfof_trgt5_paint.png	most
2	537717.00	534015.39	3701	correct	no	2	6_subj-nichtnur-no_trgt4_buy.png	only
4	547260.00	542448.32	4811	correct	yes	4	11_filler-yes_Trgt-5_catch.png	filler
4	555845.00	553014.48	2830	correct	yes	4	24_filler-yes_Trgt-4_steal.png	filler
