BUTTON_PRESSED	BUTTON_PRESS_TIME	DISPLAY_ON_TIME	RESPONSE_TIME	RESPONSE_ACCURACY	correct	correctbutton	pic	particle
4	429742.00	425311.57	4430	correct	yes	4	practice_1.png	practice
4	439770.00	435594.42	4175	incorrect	no	2	practice_4.png	practice
2	451925.00	448343.79	3581	correct	no	2	practice_6.png	practice
4	461903.00	457460.03	4442	correct	yes	4	practice_2.png	practice
4	470689.00	467842.87	2846	correct	yes	4	practice_3.png	practice
2	480192.00	476142.46	4049	correct	no	2	practice_5.png	practice
2	575803.00	568021.38	7781	correct	no	2	4_filler-no_Trgt-4_break.png	filler
2	584844.00	581337.40	3506	correct	no	2	9_most-no-sfof_trgt6_find.png	most
4	593865.00	590970.29	2894	correct	yes	4	16_most-yes-stot_trgt5_paint.png	only
4	602156.00	598819.91	3336	correct	yes	4	7_filler-yes_Trgt-3_collect.png	filler
2	609904.00	606836.19	3067	correct	no	2	"21_most-no-sfof_trgt4_throw away.png"	most
2	618505.00	614802.47	3702	correct	no	2	2_filler-no_Trgt-5_eat.png	filler
4	627755.00	623735.38	4019	correct	yes	4	6_most-yes-stot_trgt4_buy.png	most
4	634698.00	632518.28	2179	correct	yes	4	8_most-yes-stot_trgt6_collect.png	only
2	642288.00	639351.29	2936	correct	no	2	"22_filler-no_Trgt-4_throw away.png"	filler
4	650650.00	646717.59	3932	correct	yes	4	10_filler-yes_Trgt-3_find.png	filler
4	659081.00	655383.86	3697	correct	yes	4	23_most-yes-sfot_trgt4_steal.png	only
4	669956.00	663850.12	6105	correct	yes	4	5_filler-yes_Trgt-6_buy.png	filler
4	677326.00	674232.94	3093	correct	yes	4	14_most-yes-stot_trgt5_bring.png	most
2	683756.00	681965.91	1790	correct	no	2	11_obj-nichtnur-no_trgt5_catch.png	only
4	691783.00	688215.60	3567	correct	yes	4	9_filler-yes_Trgt-6_find.png	filler
2	699819.00	696615.21	3203	incorrect	yes	4	"22_most-yes-stot_trgt4_throw away.png"	most
4	709451.00	706281.41	3169	correct	yes	4	20_filler-yes_Trgt-3_win.png	filler
2	717726.00	714297.70	3428	correct	no	2	17_filler-no_Trgt-6_take.png	filler
2	725505.00	722647.29	2857	correct	no	2	4_subj-nichtnur-no_trgt4_break.png	only
4	734059.00	730046.93	4012	correct	yes	4	13_filler-yes_Trgt-5_bring.png	filler
2	740685.00	738029.90	2655	correct	no	2	3_filler-no_Trgt-3_break.png	filler
2	748902.00	745979.49	2922	correct	no	2	16_subj-nichtnur-no_trgt5_paint.png	only
2	757256.00	752979.16	4276	correct	no	2	5_filler-no_Trgt-6_buy.png	filler
2	764094.00	762095.40	1998	incorrect	yes	4	17_most-yes-sfot_trgt3_take.png	most
4	800616.00	797777.03	2838	correct	yes	4	8_filler-yes_Trgt-6_collect.png	filler
4	807682.00	805026.69	2655	correct	yes	4	23_filler-yes_Trgt-5_steal.png	filler
4	814729.00	812192.99	2536	correct	yes	4	3_most-yes-sfot_trgt3_break.png	only
2	821166.00	818692.67	2473	incorrect	yes	4	1_most-yes-sfot_trgt6_eat.png	most
2	830995.00	828225.57	2769	correct	no	2	19_filler-no_Trgt-4_win.png	filler
4	839520.00	835908.52	3611	correct	yes	4	"21_filler-yes_Trgt-4_throw away.png"	filler
2	846430.00	843258.18	3171	correct	no	2	18_most-no-sfof_trgt3_take.png	most
2	853191.00	850757.83	2433	correct	no	2	12_filler-no_Trgt-6_catch.png	filler
4	861159.00	857007.51	4151	correct	yes	4	4_most-yes-stot_trgt4_break.png	only
2	867806.00	865890.42	1915	correct	no	2	7_obj-nichtnur-no_trgt6_collect.png	only
4	874894.00	872073.46	2820	correct	yes	4	15_filler-yes_Trgt-6_paint.png	filler
2	881925.00	879739.76	2185	correct	no	2	17_most-no-sfof_trgt3_take.png	most
2	889003.00	886489.44	2513	correct	no	2	12_subj-nichtnur-no_trgt3_catch.png	only
2	895065.00	892939.13	2125	correct	no	2	16_filler-no_Trgt-5_paint.png	filler
2	902479.00	899438.80	3040	correct	no	2	"21_filler-no_Trgt-4_throw away.png"	filler
4	909055.00	906938.47	2116	correct	yes	4	15_most-yes-sfot_trgt6_paint.png	only
2	914850.00	913154.81	1695	correct	no	2	20_filler-no_Trgt-3_win.png	filler
4	922233.00	918787.89	3445	correct	yes	4	3_filler-yes_Trgt-3_break.png	filler
2	929365.00	926704.18	2660	correct	no	2	19_obj-nichtnur-no_trgt5_win.png	only
4	938901.00	934820.45	4080	correct	yes	4	11_filler-yes_Trgt-5_catch.png	filler
2	946499.00	943220.06	3278	correct	no	2	"22_most-no-sfof_trgt4_throw away.png"	most
2	953733.00	950736.36	2996	correct	no	2	6_filler-no_Trgt-4_buy.png	filler
4	961706.00	958069.35	3636	correct	yes	4	18_most-yes-stot_trgt3_take.png	most
2	969082.00	965735.63	3346	correct	no	2	14_filler-no_Trgt-3_bring.png	filler
4	1024226.00	1019233.07	4992	incorrect	no	2	8_filler-no_Trgt-6_collect.png	filler
2	1031320.00	1028799.29	2520	correct	no	2	6_most-no-sfof_trgt4_buy.png	most
