BUTTON_PRESSED	BUTTON_PRESS_TIME	DISPLAY_ON_TIME	RESPONSE_TIME	RESPONSE_ACCURACY	correct	correctbutton	pic	particle
0	-1	183360.58	-1	no_response	yes	4	practice_3.png	practice
4	204306.00	201609.53	2696	incorrect	no	2	practice_6.png	practice
4	217055.00	214008.81	3046	correct	yes	4	practice_1.png	practice
2	226224.00	222791.62	3432	correct	no	2	practice_4.png	practice
2	235359.00	232491.07	2867	correct	no	2	practice_5.png	practice
4	244745.00	240373.94	4371	correct	yes	4	practice_2.png	practice
2	293053.00	290037.71	3015	correct	no	2	24_filler-no_Trgt-4_steal.png	filler
2	300877.00	298353.91	2523	correct	no	2	14_filler-no_Trgt-3_bring.png	filler
4	310418.00	307420.04	2997	correct	yes	4	12_most-yes-stot_trgt3_catch.png	most
2	319191.00	315602.91	3588	correct	no	2	1_filler-no_Trgt-3_eat.png	filler
4	328851.00	325519.00	3331	correct	yes	4	5_most-yes-sfot_trgt3_buy.png	only
2	337220.00	334268.47	2951	correct	no	2	8_most-no-sfof_trgt6_collect.png	most
2	346153.00	341568.06	4584	correct	no	2	7_filler-no_Trgt-3_collect.png	filler
4	356507.00	351234.17	5272	incorrect	no	2	4_filler-no_Trgt-4_break.png	filler
2	366959.00	364116.76	2842	correct	no	2	"22_subj-nichtnur-no_trgt4_throw away.png"	only
2	374409.00	371782.97	2626	correct	no	2	3_filler-no_Trgt-3_break.png	filler
4	381112.00	379099.22	2012	correct	yes	4	14_filler-yes_Trgt-3_bring.png	filler
2	388493.00	385132.21	3360	correct	no	2	11_most-no-sfof_trgt5_catch.png	most
2	395778.00	393515.05	2262	correct	no	2	17_filler-no_Trgt-6_take.png	filler
4	403688.00	400131.32	3556	correct	yes	4	4_most-yes-stot_trgt4_break.png	most
2	410493.00	408047.54	2445	correct	no	2	5_obj-nichtnur-no_trgt3_buy.png	only
2	418153.00	415813.74	2339	correct	no	2	19_filler-no_Trgt-4_win.png	filler
4	425035.00	422380.04	2654	correct	yes	4	5_filler-yes_Trgt-6_buy.png	filler
2	432919.00	430129.59	2789	correct	no	2	10_subj-nichtnur-no_trgt3_find.png	only
4	441962.00	437845.81	4116	correct	yes	4	3_filler-yes_Trgt-3_break.png	filler
