BUTTON_PRESSED	BUTTON_PRESS_TIME	DISPLAY_ON_TIME	RESPONSE_TIME	RESPONSE_ACCURACY	correct	correctbutton	pic	particle
4	261483.00	257197.65	4285	correct	yes	4	practice_3.png	practice
2	271943.00	267813.82	4129	correct	no	2	practice_4.png	practice
4	283301.00	278946.60	4354	correct	yes	4	practice_1.png	practice
2	290855.00	288412.82	2442	correct	no	2	practice_6.png	practice
2	301196.00	296095.78	5100	correct	no	2	practice_5.png	practice
4	312351.00	306978.60	5372	correct	yes	4	practice_2.png	practice
2	354261.00	350676.49	3584	correct	no	2	"21_most-no-sfof_trgt4_throw away.png"	most
2	363270.00	360892.66	2377	correct	no	2	11_obj-nichtnur-no_trgt5_catch.png	only
2	371179.00	368142.31	3036	correct	no	2	12_filler-no_Trgt-6_catch.png	filler
2	383427.00	378408.47	5018	correct	no	2	2_filler-no_Trgt-5_eat.png	filler
4	391295.00	388208.01	3086	correct	yes	4	10_most-yes-stot_trgt3_find.png	most
4	397114.00	395974.30	1139	incorrect	no	2	1_filler-no_Trgt-3_eat.png	filler
2	412686.00	405340.52	7345	correct	no	2	8_subj-nichtnur-no_trgt6_collect.png	only
2	420161.00	417906.59	2254	correct	no	2	17_most-no-sfof_trgt3_take.png	most
2	430372.00	426356.17	4015	correct	no	2	13_filler-no_Trgt-5_bring.png	filler
2	438643.00	436039.04	2603	correct	no	2	7_obj-nichtnur-no_trgt6_collect.png	only
4	446052.00	442955.37	3096	correct	yes	4	15_filler-yes_Trgt-6_paint.png	filler
2	453832.00	450471.69	3360	correct	no	2	7_filler-no_Trgt-3_collect.png	filler
2	463506.00	459571.24	3934	correct	no	2	16_subj-nichtnur-no_trgt5_paint.png	only
2	473718.00	469320.77	4397	incorrect	yes	4	4_most-yes-stot_trgt4_break.png	only
4	485081.00	479670.27	5410	correct	yes	4	2_filler-yes_Trgt-5_eat.png	filler
2	493269.00	489503.14	3765	correct	no	2	"21_filler-no_Trgt-4_throw away.png"	filler
4	502479.00	498786.01	3692	correct	yes	4	5_most-yes-sfot_trgt3_buy.png	most
2	513625.00	508368.89	5256	correct	no	2	3_obj-nichtnur-no_trgt3_break.png	only
4	520824.00	518218.43	2605	correct	yes	4	17_filler-yes_Trgt-6_take.png	filler
2	527855.00	525184.75	2670	correct	no	2	18_filler-no_Trgt-5_take.png	filler
4	538769.00	532767.71	6001	correct	yes	4	1_most-yes-sfot_trgt6_eat.png	most
