BUTTON_PRESSED	BUTTON_PRESS_TIME	DISPLAY_ON_TIME	RESPONSE_TIME	RESPONSE_ACCURACY	correct	correctbutton	pic	particle
0	-1	285806.85	-1	no_response	no	2	practice_6.png	practice
4	308972.00	305389.24	3582	correct	yes	4	practice_3.png	practice
4	318091.00	315172.12	2918	correct	yes	4	practice_1.png	practice
4	327566.00	323771.72	3794	correct	yes	4	practice_2.png	practice
4	338141.00	333504.58	4636	incorrect	no	2	practice_5.png	practice
2	348383.00	345787.32	2595	correct	no	2	practice_4.png	practice
2	392882.00	389485.21	3396	correct	no	2	12_filler-no_Trgt-6_catch.png	filler
4	402732.00	399034.75	3697	correct	yes	4	"22_filler-yes_Trgt-4_throw away.png"	filler
2	410333.00	407734.34	2598	correct	no	2	3_filler-no_Trgt-3_break.png	filler
2	418364.00	415633.95	2730	correct	no	2	19_subj-nichtnur-no_trgt5_win.png	only
2	427531.00	423883.55	3647	correct	no	2	17_most-no-sfof_trgt3_take.png	most
4	435586.00	433049.78	2536	correct	yes	4	19_filler-yes_Trgt-4_win.png	filler
4	444383.00	442166.03	2216	correct	yes	4	19_most-yes-stot_trgt5_win.png	only
4	453390.00	450265.63	3124	correct	yes	4	24_filler-yes_Trgt-4_steal.png	filler
2	464073.00	460098.47	3974	correct	no	2	9_filler-no_Trgt-6_find.png	filler
4	473433.00	470214.67	3218	correct	yes	4	10_most-yes-sfot_trgt3_find.png	only
4	482921.00	479447.56	3473	correct	yes	4	18_most-yes-sfot_trgt3_take.png	only
2	492030.00	488913.78	3116	correct	no	2	2_filler-no_Trgt-5_eat.png	filler
2	499738.00	497213.36	2524	correct	no	2	4_filler-no_Trgt-4_break.png	filler
2	509737.00	506962.92	2774	incorrect	yes	4	24_most-yes-sfot_trgt4_steal.png	most
2	519210.00	517595.73	1614	correct	no	2	10_filler-no_Trgt-3_find.png	filler
2	528543.00	525745.35	2797	correct	no	2	2_obj-nichtnur-no_trgt5_eat.png	only
2	537209.00	533778.28	3430	incorrect	yes	4	12_filler-yes_Trgt-6_catch.png	filler
2	546492.00	544511.10	1980	incorrect	yes	4	12_most-yes-sfot_trgt3_catch.png	most
4	555960.00	553094.02	2865	correct	yes	4	"21_filler-yes_Trgt-4_throw away.png"	filler
2	564842.00	562493.57	2348	correct	no	2	12_most-no-sfof_trgt3_catch.png	most
4	572987.00	569409.92	3577	correct	yes	4	6_most-yes-sfot_trgt4_buy.png	only
2	580743.00	578526.14	2216	correct	no	2	8_filler-no_Trgt-6_collect.png	filler
4	589217.00	585892.46	3324	correct	yes	4	7_most-yes-stot_trgt6_collect.png	only
2	596209.00	593742.07	2466	correct	no	2	5_filler-no_Trgt-6_buy.png	filler
4	637016.00	634040.14	2975	incorrect	no	2	"21_filler-no_Trgt-4_throw away.png"	filler
2	641618.00	640489.82	1128	incorrect	yes	4	9_most-yes-stot_trgt6_find.png	most
4	650955.00	647972.79	2982	correct	yes	4	17_most-yes-stot_trgt3_take.png	most
2	657699.00	655722.42	1976	correct	no	2	"22_filler-no_Trgt-4_throw away.png"	filler
2	666643.00	664005.36	2637	correct	no	2	6_obj-nichtnur-no_trgt4_buy.png	only
4	674487.00	670888.37	3598	correct	yes	4	13_filler-yes_Trgt-5_bring.png	filler
4	682048.00	679337.97	2710	correct	yes	4	15_most-yes-stot_trgt6_paint.png	only
2	692731.00	689287.48	3443	incorrect	yes	4	4_most-yes-sfot_trgt4_break.png	most
4	703435.00	699853.63	3581	correct	yes	4	23_filler-yes_Trgt-5_steal.png	filler
4	710910.00	708503.23	2406	correct	yes	4	14_filler-yes_Trgt-3_bring.png	filler
4	718360.00	716052.85	2307	correct	yes	4	1_most-yes-stot_trgt6_eat.png	most
2	728472.00	726052.39	2419	correct	no	2	20_most-no-sfof_trgt6_win.png	most
4	737689.00	733135.38	4553	correct	yes	4	9_filler-yes_Trgt-6_find.png	filler
2	744690.00	742368.26	2321	correct	no	2	23_filler-no_Trgt-5_steal.png	filler
4	752042.00	749584.58	2457	correct	yes	4	5_most-yes-stot_trgt3_buy.png	most
2	761876.00	759484.11	2391	correct	no	2	14_obj-nichtnur-no_trgt5_bring.png	only
4	770482.00	768200.36	2281	correct	yes	4	20_filler-yes_Trgt-3_win.png	filler
2	778645.00	776149.97	2495	correct	no	2	13_most-no-sfof_trgt5_bring.png	most
4	788006.00	784516.24	3489	incorrect	no	2	18_filler-no_Trgt-5_take.png	filler
2	797086.00	794799.08	2286	correct	no	2	1_most-no-sfof_trgt6_eat.png	most
4	805226.00	802348.70	2877	correct	yes	4	15_filler-yes_Trgt-6_paint.png	filler
4	812778.00	809915.02	2862	correct	yes	4	4_filler-yes_Trgt-4_break.png	filler
2	821177.00	818264.61	2912	incorrect	yes	4	20_most-yes-sfot_trgt6_win.png	most
