"","subject","correct_judgment","button_expected","pic_file","trial","button_pressed","button_press_time","display_on_time","rt","response_accuracy","particle","version","sentence","logRT","foc","congruence"
"2145","v3p4","no","2","10_filler-no_Trgt-3_find.png","24","2","403680.00","400606.14",3073,"correct","filler","3","Miś znalazł cztery wieszaki.",8.03040956213048,"obj","incongruent"
"2146","v3p4","no","2","10_subj-nichtnur-no_trgt3_find.png","36","2","591091.00","583195.53",7895,"correct","only","3","Zegarki znalazł nie tylko miś.",8.97398492668974,"subj","incongruent"
"2147","v3p4","no","2","11_filler-no_Trgt-5_catch.png","22","2","384362.00","379357.37",5004,"correct","filler","3","Pies złapał kilka żabek.",8.5179928715868,"obj","incongruent"
"2148","v3p4","no","2","11_most-no-sfof_trgt5_catch.png","30","2","476090.00","471352.03",4737,"correct","most","3","Najwięcej lew złapał motyli.",8.46315930292375,"obj","incongruent"
"2149","v3p4","no","2","12_filler-no_Trgt-6_catch.png","86","2","1181472.00","1177994.34",3477,"correct","filler","3","Osioł złapał cztery pająki.",8.15392513200786,"obj","incongruent"
"2150","v3p4","no","2","12_most-no-sfof_trgt3_catch.png","37","2","600311.00","596561.41",3749,"correct","most","3","Najwięcej piłek złapał prosiaczek.",8.22924441673591,"subj","incongruent"
"2151","v3p4","no","2","13_filler-no_Trgt-5_bring.png","98","2","1311255.00","1307053.51",4201,"correct","filler","3","Pies przyniósł trzy linijki.",8.34307787116938,"obj","incongruent"
"2152","v3p4","no","2","13_obj-nichtnur-no_trgt5_bring.png","21","2","374335.00","368224.68",6110,"correct","only","3","Miś przyniósł nie tylko gwoździe.",8.71768205216564,"obj","incongruent"
"2153","v3p4","no","2","14_filler-no_Trgt-3_bring.png","54","4","779097.00","773634.47",5462,"incorrect","filler","3","Lew przyniósł pięć siekierek.",8.60557030203365,"obj","incongruent"
"2154","v3p4","no","2","14_subj-nichtnur-no_trgt5_bring.png","13","2","279550.00","273913.48",5636,"correct","only","3","Ołówki przyniósł nie tylko lew.",8.63692987301857,"subj","incongruent"
"2155","v3p4","no","2","15_filler-no_Trgt-6_paint.png","48","2","721044.00","718437.69",2606,"correct","filler","3","Prosiaczek namalował pięć krzyżyków.",7.86557175768479,"obj","incongruent"
"2156","v3p4","no","2","15_most-no-sfof_trgt6_paint.png","49","2","730359.00","726870.53",3488,"correct","most","3","Najwięcej królik namalował słonek.",8.15708378502887,"obj","incongruent"
"2157","v3p4","no","2","16_filler-no_Trgt-5_paint.png","81","2","1131100.00","1125730.70",5369,"correct","filler","3","Osioł namalował cztery drzewka.",8.58839695042257,"obj","incongruent"
"2158","v3p4","no","2","16_most-no-sfof_trgt5_paint.png","9","2","236875.00","232865.86",4009,"correct","most","3","Najwięcej trójkątów namalował miś.",8.29629711264251,"subj","incongruent"
"2159","v3p4","no","2","17_filler-no_Trgt-6_take.png","28","2","456237.00","449319.97",6917,"correct","filler","3","Królik zabrał cztery świeczki.",8.84173742860058,"obj","incongruent"
"2160","v3p4","no","2","17_obj-nichtnur-no_trgt3_take.png","52","2","756348.00","754118.95",2229,"correct","only","3","Lew zabrał nie tylko pudełka.",7.70930833338587,"obj","incongruent"
"2161","v3p4","no","2","18_filler-no_Trgt-5_take.png","74","2","1027623.00","1022636.70",4986,"correct","filler","3","Królik zabrał sześć markerów.",8.5143892640835,"obj","incongruent"
"2162","v3p4","no","2","18_subj-nichtnur-no_trgt3_take.png","32","4","537123.00","529215.34",7907,"incorrect","only","3","Książki zabrał nie tylko królik.",8.97550372207093,"subj","incongruent"
"2163","v3p4","no","2","19_filler-no_Trgt-4_win.png","93","2","1254599.00","1250206.81",4392,"correct","filler","3","Miś wygrał trzy pisanki.",8.38753998318937,"obj","incongruent"
"2164","v3p4","no","2","19_most-no-sfof_trgt5_win.png","43","2","666446.00","662757.59",3688,"correct","most","3","Najwięcej pies wygrał lizaków.",8.21283958467648,"obj","incongruent"
"2165","v3p4","no","2","2_filler-no_Trgt-5_eat.png","8","2","225347.00","221649.85",3697,"correct","filler","3","Miś zjadł kilka jabłek.",8.21527695893663,"obj","incongruent"
"2166","v3p4","no","2","2_subj-nichtnur-no_trgt5_eat.png","66","2","945106.00","940391.46",4714,"correct","only","3","Ziemniaki zjadł nie tylko miś.",8.45829208349608,"subj","incongruent"
"2167","v3p4","no","2","20_filler-no_Trgt-3_win.png","35","2","576449.00","571496.21",4952,"correct","filler","3","Miś wygrał sześć medali.",8.50754681436443,"obj","incongruent"
"2168","v3p4","no","2","20_most-no-sfof_trgt6_win.png","29","2","466233.00","462402.55",3830,"correct","most","3","Najwięcej gwiazdek wygrał lew.",8.25062008217469,"subj","incongruent"
"2169","v3p4","no","2","21_filler-no_Trgt-4_throw away.png","55","2","820056.00","815665.38",4390,"correct","filler","3","Osioł wyrzucił pięć smoczków.",8.38708450606922,"obj","incongruent"
"2170","v3p4","no","2","21_obj-nichtnur-no_trgt4_throw away.png","96","2","1287900.00","1282171.63",5728,"correct","only","3","Królik wyrzucił nie tylko czapki.",8.65312170864048,"obj","incongruent"
"2171","v3p4","no","2","22_filler-no_Trgt-4_throw away.png","46","2","700982.00","697738.88",3243,"correct","filler","3","Pies wyrzucił sześć szminek.",8.08425410630732,"obj","incongruent"
